artist_id,artist_name
1,Shawn Mendes
2,Anuel AA
3,Ariana Grande
4,Ed Sheeran
5,Post Malone
6,Ed Sheeran
7,Lil Tecca
8,Sam Smith
9,Lil Nas X
10,Billie Eilish
11,Bad Bunny
12,DJ Snake
13,Lewis Capaldi
14,Sech
15,Drake
16,Chris Brown
17,J Balvin
18,Post Malone
19,Y2K
20,Lizzo
21,MEDUZA
22,Lil Nas X
23,Jhay Cortez
24,Lunay
25,Billie Eilish
26,Shawn Mendes
27,Tones and I
28,Ali Gatie
29,Daddy Yankee
30,J Balvin
31,The Chainsmokers
32,Ariana Grande
33,Maluma
34,Young Thug
35,Katy Perry
36,Martin Garrix
37,Sech
38,Ed Sheeran
39,Jonas Brothers
40,Lauv
41,Kygo
42,Taylor Swift
43,Lady Gaga
44,Khalid
45,Rosalia
46,Marshmello
47,Nicky Jam
48,Marshmello
49,The Chainsmokers
50,Ed Sheeran
