song_title,artist_name,genre_name,bpm,energy,danceability,loudness,liveness,valence,length_ms,accousticness,speechiness,popularity,collaboration
señorita,Shawn Mendes,pop,117,55,76,-6,8,75,191,4,3,79,no
china,Anuel AA,latin,105,81,79,-4,8,61,302,8,9,92,no
boyfriend (with social house),Ariana Grande,pop,190,80,40,-4,16,70,186,12,46,85,yes
beautiful people (feat. khalid),Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,yes
goodbyes (feat. young thug),Post Malone,rap,150,65,58,-4,11,18,175,45,7,94,yes
i don't care (with justin bieber),Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,yes
ransom,Lil Tecca,rap,180,64,75,-6,7,23,131,2,29,92,no
how do you sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,no
old town road - remix,Lil Nas X,rap,136,62,88,-6,11,64,157,5,10,87,yes
bad guy,Billie Eilish,pop,135,43,70,-11,10,56,194,33,38,95,no
callaita,Bad Bunny,latin,176,62,61,-5,24,24,251,60,31,93,no
loco contigo (feat. j. balvin & tyga),DJ Snake,pop,96,71,82,-4,15,38,185,28,7,86,yes
someone you loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,no
otro trago - remix,Sech,pop,176,79,73,-2,6,76,288,7,20,87,yes
money in the grave (drake ft. rick ross),Drake,hip hop,101,50,83,-4,12,10,205,10,5,92,yes
no guidance (feat. drake),Chris Brown,pop,93,45,70,-7,16,14,261,12,15,82,yes
la canción,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,no
sunflower - spider-man: into the spider-verse,Post Malone,rap,90,48,76,-6,7,91,158,56,5,91,no
lalala,Y2K,hip hop,130,39,84,-8,14,50,161,18,8,88,no
truth hurts,Lizzo,edm,158,62,72,-3,12,41,173,11,11,91,no
piece of your heart,MEDUZA,pop,124,74,68,-7,7,63,153,4,3,91,no
panini,Lil Nas X,rap,154,59,70,-6,12,48,115,34,8,91,no
no me conoce - remix,Jhay Cortez,latin,92,79,81,-4,9,58,309,14,7,83,yes
soltera - remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,yes
bad guy (with justin bieber),Billie Eilish,pop,135,45,67,-11,12,68,195,25,30,89,yes
if i can't have you,Shawn Mendes,pop,124,82,69,-4,13,87,191,49,6,70,no
dance monkey,Tones and I,pop,98,59,82,-6,18,54,210,69,10,83,no
it's you,Ali Gatie,hip hop,96,46,73,-7,19,40,213,37,3,89,no
con calma,Daddy Yankee,latin,94,86,74,-3,6,66,193,11,6,91,no
que pretendes,J Balvin,latin,93,79,64,-4,36,94,222,3,25,89,no
takeaway,The Chainsmokers,edm,85,51,29,-8,10,36,210,12,4,84,no
7 rings,Ariana Grande,pop,140,32,78,-11,9,33,179,59,33,89,no
HP,Maluma,latin,96,71,78,-5,9,68,176,22,28,89,no
the london (feat. j. cole & travis scott),Young Thug,hip hop,98,59,80,-7,13,18,200,2,15,89,yes
never really over,Katy Perry,pop,100,88,77,-5,32,39,224,19,6,89,no
summer days (feat. macklemore & patrick stump of fall out boy),Martin Garrix,edm,114,72,66,-7,14,32,164,18,6,89,yes
otro trago,Sech,pop,176,70,75,-5,11,62,226,14,34,91,no
antisocial (with travis scott),Ed Sheeran,pop,152,82,72,-5,36,91,162,13,5,87,yes
sucker,Jonas Brothers,pop,138,73,84,-5,11,95,181,4,6,80,no
"fuck, i'm lonely (with anne-marie) - from 13 reasons why: season 3",Lauv,pop,95,56,81,-6,6,68,199,48,7,78,yes
higher love,Kygo,edm,104,68,69,-7,10,40,228,2,3,88,no
you need to calm down,Taylor Swift,pop,85,68,77,-6,7,73,171,1,5,90,no
shallow,Lady Gaga,pop,96,39,57,-6,23,32,216,37,3,87,no
talk,Khalid,pop,136,40,90,-9,6,35,198,5,13,84,no
con altura,ROSALÍA,latin,98,69,88,-4,5,75,162,39,12,88,no
one thing right,Marshmello,edm,88,62,66,-2,58,44,182,7,5,88,no
te robaré,Nicky Jam,latin,176,75,67,-4,8,80,202,24,6,88,no
happier,Marshmello,edm,100,79,69,-3,17,67,214,19,5,88,no
call you mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88,no
cross me (feat. chance the rapper & pnb rock),Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,yes
